county,money,date,securitization,shares,secur_money,money_adjusted_by_shares
Niagra - securitizations,1471613.44,1/1/1999,NO,0.00467,0.00,6872.434765
Niagra - payments,1471613.44,1/1/1999,NO,0.00467,0.00,6872.434765
Niagra - securitizations,3342679.67,1/1/2000,NO,0.00467,0.00,15610.31406
Niagra - payments,3342679.67,1/1/2000,NO,0.00467,0.00,15610.31406
Niagra - securitizations,0.00,10/20/2000,YES,,47920000.00,
Niagra - securitizations,3607265.50,1/1/2001,NO,0.00467,0.00,16845.92989
Niagra - payments,3607265.50,1/1/2001,NO,0.00467,0.00,16845.92989
Niagra - securitizations,4628713.38,1/1/2002,NO,0.00467,0.00,21616.09148
Niagra - payments,4628713.38,1/1/2002,NO,0.00467,0.00,21616.09148
Niagra - securitizations,4464785.51,1/1/2003,NO,0.00467,0.00,20850.54833
Niagra - payments,4464785.51,1/1/2003,NO,0.00467,0.00,20850.54833
Niagra - securitizations,3746552.80,1/1/2004,NO,0.00467,0.00,17496.40158
Niagra - payments,3746552.80,1/1/2004,NO,0.00467,0.00,17496.40158
Niagra - securitizations,3799424.94,1/1/2005,NO,0.00467,0.00,17743.31447
Niagra - payments,3799424.94,1/1/2005,NO,0.00467,0.00,17743.31447
Niagra - securitizations,0.00,11/15/2005,YES,,17754556.35,
Niagra - securitizations,3476204.30,1/1/2006,NO,0.00467,0.00,16233.87408
Niagra - payments,3476204.30,1/1/2006,NO,0.00467,0.00,16233.87408
Niagra - securitizations,3617736.66,1/1/2007,NO,0.00467,0.00,16894.8302
Niagra - payments,3617736.66,1/1/2007,NO,0.00467,0.00,16894.8302
Niagra - securitizations,3693570.40,1/1/2008,NO,0.00467,0.00,17248.97377
Niagra - payments,3693570.40,1/1/2008,NO,0.00467,0.00,17248.97377
Niagra - securitizations,4073111.93,1/1/2009,NO,0.00467,0.00,19021.43271
Niagra - payments,4073111.93,1/1/2009,NO,0.00467,0.00,19021.43271
Niagra - securitizations,3389647.56,1/1/2010,NO,0.00467,0.00,15829.65411
Niagra - payments,3389647.56,1/1/2010,NO,0.00467,0.00,15829.65411
Niagra - securitizations,3213664.37,1/1/2011,NO,0.00467,0.00,15007.81261
Niagra - payments,3213664.37,1/1/2011,NO,0.00467,0.00,15007.81261
Niagra - securitizations,3277350.84,1/1/2012,NO,0.00467,0.00,15305.22842
Niagra - payments,3277350.84,1/1/2012,NO,0.00467,0.00,15305.22842
Niagra - securitizations,3275315.39,1/1/2013,NO,0.00467,0.00,15295.72287
Niagra - payments,3275315.39,1/1/2013,NO,0.00467,0.00,15295.72287
Niagra - securitizations,3705462.06,1/1/2014,NO,0.00467,0.00,17304.50782
Niagra - payments,3705462.06,1/1/2014,NO,0.00467,0.00,17304.50782
Niagra - payments,3639623.00,1/1/2015,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2015,NO,0.00467,0.00,
Niagra - payments,3625001.00,1/1/2016,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2016,NO,0.00467,0.00,
Niagra - payments,3609398.00,1/1/2017,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2017,NO,0.00467,0.00,
Niagra - payments,4019732.00,1/1/2018,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2018,NO,0.00467,0.00,
Niagra - payments,3999352.00,1/1/2019,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2019,NO,0.00467,0.00,
Niagra - payments,3982110.00,1/1/2020,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2020,NO,0.00467,0.00,
Niagra - payments,3970418.00,1/1/2021,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2021,NO,0.00467,0.00,
Niagra - payments,3962042.00,1/1/2022,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2022,NO,0.00467,0.00,
Niagra - payments,3959329.00,1/1/2023,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2023,NO,0.00467,0.00,
Niagra - payments,3961657.00,1/1/2024,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2024,NO,0.00467,0.00,
Niagra - payments,3969384.00,1/1/2025,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2025,NO,0.00467,0.00,
Niagra - payments,3981363.00,1/1/2026,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2026,NO,0.00467,0.00,
Niagra - payments,3996257.00,1/1/2027,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2027,NO,0.00467,0.00,
Niagra - payments,4012937.00,1/1/2028,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2028,NO,0.00467,0.00,
Niagra - payments,4029957.00,1/1/2029,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2029,NO,0.00467,0.00,
Niagra - payments,4046668.00,1/1/2030,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2030,NO,0.00467,0.00,
Niagra - payments,4063382.00,1/1/2031,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2031,NO,0.00467,0.00,
Niagra - payments,4080440.00,1/1/2032,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2032,NO,0.00467,0.00,
Niagra - payments,4097822.00,1/1/2033,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2033,NO,0.00467,0.00,
Niagra - payments,4112746.00,1/1/2034,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2034,NO,0.00467,0.00,
Niagra - payments,4127153.00,1/1/2035,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2035,NO,0.00467,0.00,
Niagra - payments,4141545.00,1/1/2036,NO,0.00467,0.00,
Niagra - securitizations,0,1/1/2036,NO,0.00467,0.00,
Niagra - payments,4155205.00,1/1/2037,NO,0.00467,0.00,
